id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
15960,NIG-2009-1-793-1,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""All Africa,2009-06-16,Police Deny Shooting Islamic Sect Members""",All Africa,2009-06-16,Police Deny Shooting Islamic Sect Members,analyst with the International Crisis Group,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2009-06-09 00:00:00.000,2009-06-09 00:00:00.000,0,0,0,0,0,14,0,475,
15970,NIG-2009-1-793-4,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Reuters 2009-07-27 ""UPDATE 4-Muslim rebels expand attacks, at least 80 dead""; AP 2009-07-27 ""Nigeria police: 55 dead in Islamist attacks""; Reuters 2009-07-28 ""Clashes kill 103 in north Nigerian city - police"" ; AFP 2009-07-28 ""Nigerian forces shell sect leader's home",,,,Reuters reporter; police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,2,2,2009-07-26 00:00:00.000,2009-07-28 00:00:00.000,13,87,0,103,203,206,203,475,
17161,NIG-2009-1-793-5.1,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 2009-07-27 ""65 dead in religious attacks in northern Nigeria: police""; ""Nigerian Islamist militants attack another town",,,,security sources and residents,4,Yobe state,Yobe state,Yobe state,,12.000000,11.500000,POINT (11.5 12),147264,Nigeria,NGA,475,Africa,2,2,2009-07-26 00:00:00.000,2009-07-27 00:00:00.000,2,10,0,0,12,12,12,475,
17167,NIG-2009-1-793-3,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Dow Jones 2009-07-27 ""Nigerian Islamist Attacks Spread To 2 More States - Report""; AFP 2009-07-28 ""Over 100 killed in clashes in Nigerian city: witnesses",,,,Eyewitnesses,1,Potiskum town,Potiskum town,Yobe state,Potiskum lga,11.709100,11.069400,POINT (11.0694 11.7091),146543,Nigeria,NGA,475,Africa,1,2,2009-07-26 00:00:00.000,2009-07-27 00:00:00.000,1,0,0,0,1,1,1,475,
15720,NIG-2009-1-793-5.2,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 2009-07-27 ""65 dead in religious attacks in northern Nigeria: police""; ""Nigerian Islamist militants attack another town",,,,security sources and residents,4,Bauchi state,Bauchi state,Bauchi state,,10.500000,10.000000,POINT (10 10.5),145101,Nigeria,NGA,475,Africa,2,2,2009-07-26 00:00:00.000,2009-07-27 00:00:00.000,2,9,0,0,11,11,11,475,
15733,NIG-2009-1-793-2,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 2009-07-26 ""Forty-two dead as 'Taliban' sect, police clash in Nigeria""; Reuters 2009-07-26 ""UPDATE 1-Nigeria clashes kill over 50 in northeastern city""; Daily Trust/BBC 2009-07-28 ""Nigerian Islamic sect leader vows to resist authorities",,,,"hospital source, police",1,Bauchi town,Bauchi town,Bauchi state,Bauchi lga,10.313441,9.843273,POINT (9.843273 10.313441),144380,Nigeria,NGA,475,Africa,1,1,2009-07-26 00:00:00.000,2009-07-26 00:00:00.000,1,37,3,1,42,51,39,475,
13989,NIG-2009-1-793-7.4,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Xinhua 2009-07-28 ""Roundup: Nigerian deaths toll rises as police clamp down on armed youths",,,,,4,Yobe state,Yobe state,Yobe state,,12.000000,11.500000,POINT (11.5 12),147264,Nigeria,NGA,475,Africa,2,1,2009-07-27 00:00:00.000,2009-07-27 00:00:00.000,0,0,0,0,0,19,0,475,
13891,NIG-2009-1-793-7.3,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Xinhua 2009-07-28 ""Roundup: Nigerian deaths toll rises as police clamp down on armed youths",,,,,4,Borno state,Borno state,Borno state,,11.500000,13.000000,POINT (13 11.5),146547,Nigeria,NGA,475,Africa,1,1,2009-07-27 00:00:00.000,2009-07-27 00:00:00.000,0,0,0,0,0,20,0,475,
13900,NIG-2009-1-793-7.1,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Xinhua 2009-07-28 ""Roundup: Nigerian deaths toll rises as police clamp down on armed youths",,,,,4,Adamawa state,Adamawa state,Adamawa state,,9.333333,12.500000,POINT (12.5 9.333333),142946,Nigeria,NGA,475,Africa,1,1,2009-07-27 00:00:00.000,2009-07-27 00:00:00.000,0,0,0,0,0,20,0,475,
15964,NIG-2009-1-793-11,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Associated Press (AP) 2009-08-01 ""Nigerian official says 700 people killed in recent fighting between police and Islamic sect",,,,military official,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,2,2,2009-07-27 00:00:00.000,2009-07-30 00:00:00.000,0,0,0,0,0,215,0,475,
16389,NIG-2009-1-793-7.2,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Xinhua 2009-07-28 ""Roundup: Nigerian deaths toll rises as police clamp down on armed youths",,,,,4,Kano state,Kano State,Kano state,,11.500000,8.500000,POINT (8.5 11.5),146538,Nigeria,NGA,475,Africa,2,1,2009-07-27 00:00:00.000,2009-07-27 00:00:00.000,0,0,0,0,0,19,0,475,
16411,NIG-2009-1-793-6,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 2009-07-27 ""Nigerian Islamist militants attack another town",,,,police,1,Wudil town,Wudil town,Kano state,Wudil lga,11.810671,8.845050,POINT (8.84505 11.810671),146538,Nigeria,NGA,475,Africa,1,1,2009-07-27 00:00:00.000,2009-07-27 00:00:00.000,0,3,0,0,3,3,3,475,
17168,NIG-2009-1-793-8,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 2009-07-29 ""30 killed in new Nigeria gunbattle: police source""; ""Death toll in Nigeria fighting rises above 300: police",,,,police source,2,Potiskum town,Potiskum town (Hawan Malka area on the outskirts of),Yobe state,Potiskum lga,11.709100,11.069400,POINT (11.0694 11.7091),146543,Nigeria,NGA,475,Africa,1,1,2009-07-29 00:00:00.000,2009-07-29 00:00:00.000,0,0,0,43,43,43,43,475,
15954,NIG-2009-1-793-10,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Reuters 2009-07-30 ""UPDATE 4-Nigerian Islamic sect leader killed in detention""; AFP 2009-07-31 ""Nigerian rights group condemns killing of sect leader""; AFP 2009-08-01 ""Nigeria police say 36 suspected Islamists arrested",,,,police spokesman,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2009-07-30 00:00:00.000,2009-07-30 00:00:00.000,0,0,0,0,0,1,0,475,
15958,NIG-2009-1-793-9,2009,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 2009-07-30 ""90 Islamists killed in Nigeria army raid: journalist""; ""200 sect followers killed in Nigeria: police source",,,,journalist/eyewitness; police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2009-07-30 00:00:00.000,2009-07-30 00:00:00.000,0,90,0,0,90,200,90,475,
17162,NIG-2010-1-793-1,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 27 August 2010 Suspected Islamists kill three Nigerian police: authorities,,,,authorities,4,Yobe state,Yobe state,Yobe state,,12.000000,11.500000,POINT (11.5 12),147264,Nigeria,NGA,475,Africa,1,4,2010-02-01 00:00:00.000,2010-02-28 00:00:00.000,0,0,0,0,0,1,0,475,
15629,NIG-2010-1-793-2,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 27 August 2010 Suspected Islamists kill three Nigerian police: authorities,,,,police,5,Northern Nigeria,Northern Nigeria,,,11.500000,8.500000,POINT (8.5 11.5),146538,Nigeria,NGA,475,Africa,2,5,2010-06-25 00:00:00.000,2010-08-25 00:00:00.000,0,0,0,0,0,3,0,475,
15972,NIG-2010-1-793-6,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Reuters News 13 October 2010 Nigerian city bolsters security after sect attacks,,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,2,5,2010-08-13 00:00:00.000,2010-10-13 00:00:00.000,3,0,0,0,3,3,3,475,
15967,NIG-2010-1-793-4,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 27 August 2010 Suspected Islamists kill three Nigerian police: authorities,,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-08-25 00:00:00.000,2010-08-25 00:00:00.000,2,0,0,0,2,2,0,475,
17165,NIG-2010-1-793-3,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 27 August 2010 Suspected Islamists kill three Nigerian police: authorities,,,,police,3,Damaturu lga,Damaturu LGA,Yobe state,Damaturu lga,11.747000,11.960800,POINT (11.9608 11.747),146544,Nigeria,NGA,475,Africa,1,1,2010-08-25 00:00:00.000,2010-08-25 00:00:00.000,0,0,0,0,0,1,0,475,
15760,NIG-2010-1-793-5,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 7 September 2010 Suspected Islamists attack prison in Nigeria: authorities  
 
Agence France-Presse (AFP) 8 September 2010 Attack on Nigerian prison frees 732 inmates: official",,,,state police commissioner,1,Bauchi town,Bauchi town (central prison),Bauchi state,Bauchi lga,10.313441,9.843273,POINT (9.843273 10.313441),144380,Nigeria,NGA,475,Africa,1,1,2010-09-07 00:00:00.000,2010-09-07 00:00:00.000,2,0,0,2,4,5,4,475,
15742,NIG-2010-1-793-7,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 15 October 2010 Gunmen kill two Nigerian policemen amid alarm over Islamists,,,,official,1,Bauchi town,Bauchi town,Bauchi state,Bauchi lga,10.313441,9.843273,POINT (9.843273 10.313441),144380,Nigeria,NGA,475,Africa,1,1,2010-10-14 00:00:00.000,2010-10-14 00:00:00.000,2,0,0,0,2,2,2,475,
15980,NIG-2010-1-793-8,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 20 October 2010 Suspected Islamists kill another police officer in Nigeria,,,,police,2,Maiduguri town,Maiduguri town (outskirts of),Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-10-19 00:00:00.000,2010-10-19 00:00:00.000,0,0,0,0,0,1,0,475,
17166,NIG-2010-1-793-9,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 24 October 2010 Suspected Islamists attack northern Nigeria police station,,,,state police commissioner,1,Bara town,Bara town,Yobe state,Gulani lga,10.936778,11.684809,POINT (11.684809 10.936778),145104,Nigeria,NGA,475,Africa,1,1,2010-10-24 00:00:00.000,2010-10-24 00:00:00.000,0,1,0,0,1,1,1,475,
15957,NIG-2010-1-793-10,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Associated Press Newswires 14 November 2010 Nigeria: 1 soldier killed, another wounded in suspected attack from radical Muslim sect",,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-11-13 00:00:00.000,2010-11-13 00:00:00.000,0,0,0,0,0,1,0,475,
15974,NIG-2010-1-793-11,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 25 November 2010 Suspected Nigerian Islamists kill two policemen: police,,,,police,1,Maiduguri town,Maiduguri town (Bulunkutu area),Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-11-23 00:00:00.000,2010-11-23 00:00:00.000,0,0,0,0,0,2,0,475,
15965,NIG-2010-1-793-12,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Associated Press Newswires 1 December 2010 Nigeria police kill suspected sect member who allegedly tried to murder a north village chief,,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-11-29 00:00:00.000,2010-11-29 00:00:00.000,0,0,0,0,0,1,0,475,
15969,NIG-2010-1-793-13,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 5 December 2010 Shootout between Nigerian Islamists, troops kills 3: police",,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-12-05 00:00:00.000,2010-12-05 00:00:00.000,0,0,3,0,3,3,3,475,
15961,NIG-2010-1-793-14,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 25 December 2010 Christmas Eve church attacks in Nigeria kill six: military,,,,military spokesman,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-12-24 00:00:00.000,2010-12-24 00:00:00.000,0,0,0,0,0,1,0,475,
15975,NIG-2010-1-793-15,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,Agence France-Presse (AFP) 28 December 2010 Suspected Islamists kill two in northern Nigeria: police,,,,police,1,Maiduguri town,Maiduguri town (Bulunkutu neighbourhood),Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-12-28 00:00:00.000,2010-12-28 00:00:00.000,0,0,0,0,0,1,0,475,
15981,NIG-2010-1-793-16,2010,false,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Reuters News 30 December 2010 UPDATE 2-Islamist sect kills seven in latest Nigeria attack  
 
Agence France-Presse (AFP) 30 December 2010 Suspected Islamists kill eight in northern Nigeria: army",,,,military,1,Maiduguri town,Maiduguri town (Ruwan Zafi district),Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2010-12-29 00:00:00.000,2010-12-29 00:00:00.000,3,0,0,0,3,3,3,475,
42045,NIG-2011-1-793-1,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 3 January 2011 ""Suspected Islamists kill policeman in northern Nigeria",,,,police,1,Maiduguri town,Maiduguri town (Gwange district),Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-01-03 00:00:00.000,2011-01-03 00:00:00.000,1,0,0,0,1,1,1,475,
42046,NIG-2011-1-793-2,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 10 January 2011 ""Gunmen kill policeman in northern Nigeria church attack",,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-01-09 00:00:00.000,2011-01-09 00:00:00.000,1,0,0,0,1,1,1,475,
42047,NIG-2011-1-793-3,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 17 January 2011 ""Nigerian 'Islamists' resort to robbery to fund attacks: army",,,,army spokesman,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-01-17 00:00:00.000,2011-01-17 00:00:00.000,1,1,0,0,2,2,2,475,
42048,NIG-2011-1-793-4,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 23 January 2011 ""Suspected Islamists kill Nigerian soldier guarding church",,,,army spokesman Lieutenant Abubakar Abdullahi,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-01-23 00:00:00.000,2011-01-23 00:00:00.000,1,0,0,0,1,1,1,475,
42049,NIG-2011-1-793-5,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 24 January 2011 ""Suspected Islamists kill Nigerian soldier at checkpoint",,,,army spokesman Lieutenant Abubakar Abdullahi,1,Biu town,"Biu, 200 kilometres (125 miles) south of Maiduguri",Borno state,Biu lga,10.612850,12.194580,POINT (12.19458 10.61285),145105,Nigeria,NGA,475,Africa,1,1,2011-01-23 00:00:00.000,2011-01-23 00:00:00.000,1,0,0,0,1,1,1,475,
42050,NIG-2011-1-793-6,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 24 January 2011 ""Suspected Islamists kill 3 Nigerian soldiers since Sunday",,,,military,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-01-24 00:00:00.000,2011-01-24 00:00:00.000,1,0,0,0,1,1,1,475,
42051,NIG-2011-1-793-7,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,NigeriaWatch database,,,,Vanguard,3,Tafawa Balewa lga,Tafawa-Balewa LGA,Bauchi state,Tafawa Balewa lga,9.825420,9.582400,POINT (9.5824 9.82542),143660,Nigeria,NGA,475,Africa,1,1,2011-01-26 00:00:00.000,2011-01-26 00:00:00.000,1,0,0,0,1,1,1,475,
42053,NIG-2011-1-793-8,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 27 January 2011 ""'Islamists' attack police guarding vote equipment in Nigeria",,,,state police commissioner Mohammed Jinjiri Abubakar,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-01-26 00:00:00.000,2011-01-26 00:00:00.000,1,0,0,0,1,1,1,475,
42054,NIG-2011-1-793-9,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 30 January 2011 ""Three killed in Islamists attack at Nigerian checkpoint",,,,state police commissioner Mohammed Jinjiri Abubakar,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-01-30 00:00:00.000,2011-01-30 00:00:00.000,1,2,0,0,3,3,3,475,
42055,NIG-2011-1-793-10,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Reuters News 1 February 2011 ""Senior Nigerian police officer killed in northeast",,,,Borno state police spokesman Lawal Abdullahi,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-02-01 00:00:00.000,2011-02-01 00:00:00.000,1,0,0,0,1,1,1,475,
42056,NIG-2011-1-793-11,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 3 February 2011 ""Islamists blamed for deadly police attack in Nigeria's north",,,,Borno state police spokesman Lawal Abdullahi,1,Biu town,"Biu, 200 kilometres (125 miles) south of Maiduguri",Borno state,Biu lga,10.612850,12.194580,POINT (12.19458 10.61285),145105,Nigeria,NGA,475,Africa,1,1,2011-02-02 00:00:00.000,2011-02-02 00:00:00.000,1,0,0,0,1,1,1,475,
42057,NIG-2011-1-793-12,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 17 February 2011 ""Gunmen attack bank, police station in northern Nigeria",,,,police,1,Darazo town,Darazo,Bauchi state,Darazo lga,10.993750,10.411790,POINT (10.41179 10.99375),145101,Nigeria,NGA,475,Africa,1,1,2011-02-17 00:00:00.000,2011-02-17 00:00:00.000,0,0,0,0,0,4,0,475,
42058,NIG-2011-1-793-13,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 20 February 2011 ""Nigerian troops uncover weapons cache",,,,Brigadier-General Tanko Yusuf Gaya,5,Gamboru-Maiduguri road,between Maiduguri and the border town of Gamboru Ngala,Borno state,,12.015044,13.832144,POINT (13.832144 12.015044),147268,Nigeria,NGA,475,Africa,1,1,2011-02-19 00:00:00.000,2011-02-19 00:00:00.000,0,0,0,0,0,3,0,475,
42059,NIG-2011-1-793-14,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 21 February 2011 ""Nigerian unearth weapons cache in house raid",,,,"Mohammed Jinjiri Abubakar, police commissioner for Borno State",1,Damaturu town,Damaturu town,Yobe state,Damaturu lga,11.747000,11.960800,POINT (11.9608 11.747),146544,Nigeria,NGA,475,Africa,1,1,2011-02-20 00:00:00.000,2011-02-20 00:00:00.000,0,5,0,0,5,5,5,475,
42060,NIG-2011-1-793-15,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 24 February 2011 ""Suspected Islamists kill two police in Nigeria",,,,police chief for Borno state Mohammed Jinjiri Abubakar said,4,Borno state,Borno state,Borno state,,11.500000,13.000000,POINT (13 11.5),146547,Nigeria,NGA,475,Africa,1,1,2011-02-20 00:00:00.000,2011-02-20 00:00:00.000,0,0,0,0,0,1,0,475,
42061,NIG-2011-1-793-16,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 24 February 2011 ""Suspected Islamists kill two police in Nigeria",,,,police chief for Borno state Mohammed Jinjiri Abubakar said,4,Borno state,Borno state,Borno state,,11.500000,13.000000,POINT (13 11.5),146547,Nigeria,NGA,475,Africa,1,1,2011-02-23 00:00:00.000,2011-02-23 00:00:00.000,0,0,0,0,0,1,0,475,
42062,NIG-2011-1-793-17,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 27 February 2011 ""Nigeria police kill Islamist sect financier",,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-02-27 00:00:00.000,2011-02-27 00:00:00.000,0,0,0,1,1,1,1,475,
42052,NIG-2011-1-793-18,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,NigeriaWatch database,,,,"The Punch, The Nation",1,Kaduna town,Kaduna town (Rigasa area on Abuja Road),Kaduna state,,10.522240,7.438280,POINT (7.43828 10.52224),145095,Nigeria,NGA,475,Africa,1,1,2011-02-28 00:00:00.000,2011-02-28 00:00:00.000,2,0,0,0,2,2,2,475,
42063,NIG-2011-1-793-19,2011,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 3 March 2011 ""Suspected Islamists kill two police in Nigeria",,,,Borno state police commissioner Mohammed Jinjiri Abubakar,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.846440,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-03-01 00:00:00.000,2011-03-01 00:00:00.000,2,1,0,0,3,3,3,475,
